ProductTitle,Title,Description,UseArea,Usage,Drastic Ingredient,SkinType,Αμπούλες,Booster,Derma,Volume,Vegan,Cruelty-free,Image_URL
Clinea Hyaluronic Waterbomb Face Booster 30ml,"

    Clinea Hyaluronic Waterbomb Καταπραϋντικό & Αντιγηραντικό Booster Προσώπου με Υαλουρονικό Οξύ για Αναζωογόνηση 30ml

  ",Αυτό είναι ένα συμπυκνωμένο ενυδατικό booster που ξεδιψά και αναζωογονεί την επιδερμίδα. 98% συστατικά φυσικής προέλευσης.,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Ενυδάτωση, Καταπράυνση, Αναζωογόνηση, Αντιγήρανση
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Ναι","
          Δερμοκαλλυντικό
          Ναι","
          Όγκος
          30 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://b.scdn.gr/images/sku_main_images/040897/40897837/xlarge_20230316123754_clinea_hyaluronic_waterbomb_enydatiko_serum_prosopou_me_yalouroniko_oxy_30ml.jpeg
Beauty of Joseon Revive Ginseng & Retinal Eye Serum 30ml,"

    Beauty of Joseon Revive Ginseng & Retinal Ενυδατικό & Αντιγηραντικό Serum Ματιών με Ρετινάλη & Νιασιναμίδη για Αναζωογόνηση 30ml

  ","Ορός ματιών με αντιγηραντική δράση της Beauty of Joseon (Korean Skincare), που έχει σχεδιαστεί για να μετριάζει τις ρυτίδες γύρω από τα μάτια, συνδυάζοντας εκχύλισμα ginseng και ρετινάλη.","
          Περιοχή Χρήσης
          Μάτια
        ","
          Δράση
          Αντιγήρανση, Αναζωογόνηση, Ενυδάτωση
        ","
          Δραστικό Συστατικό
          Νιασιναμίδη, Ρετινάλη
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          30 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://b.scdn.gr/images/sku_main_images/039248/39248946/xlarge_20230822163501_beauty_of_joseon_revive_inseng_retinal_antigirantiko_serum_mation_30ml.jpeg
Celimax The Vita-A Retinal Shot Tightening Face Booster 15ml,"

    Celimax The Vita-A Retinal Shot Tightening Ενυδατικό & Αντιγηραντικό Booster Προσώπου με Ρετινάλη για Σύσφιξη & Θρέψη 15ml

  ","Ο Celimax The Vita-A Retinal Shot Tightening Booster είναι ένας ορός προσώπου 15 ml που περιέχει ρετινάλη. Σχεδιάστηκε για να συμβάλλει στη σύσφιξη της επιδερμίδας και στη βελτίωση της υφής της, μειώνοντας την εμφάνιση λεπτών γραμμών και ρυτίδων. Η ρετινόλη, μια μορφή βιταμίνης Α, είναι γνωστή για τις ιδιότητές της στην ανανέωση των κυττάρων του δέρματος.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Σύσφιξη, Αντιγήρανση, Ενυδάτωση, Θρέψη
        ","
          Δραστικό Συστατικό
          Ρετινάλη
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι, Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Ναι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          15 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://c.scdn.gr/images/sku_main_images/060527/60527403/xlarge_20250521163510_celimax_the_vita_a_retinal_shot_tightening_booster_prosopou_me_retinali_retinoli_gia_sysfixi_15ml.jpeg
Beauty of Joseon Propolis + Niacinamide Face Essence 30ml,"

    Beauty of Joseon Propolis + Niacinamide Καταπραϋντικό & Ενυδατικό Essence Προσώπου με Centella Asiatica & Νιασιναμίδη για Λάμψη 30ml

  ",Ορός προσώπου Propolis + Niacinamide της κορεάτικης εταιρίας Beauty of Joseon (Korean beauty). Η πρόπολη και η νιασιναμίδη καταπραΰνουν τη φλεγμονή και προσδίδουν στην επιδερμίδα όμορφη λάμψη.,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Λάμψη, Ενυδάτωση, Καταπράυνση
        ","
          Δραστικό Συστατικό
          Νιασιναμίδη, Centella Asiatica
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Ναι
        ",https://d.scdn.gr/images/sku_main_images/031947/31947514/xlarge_20221020133727_beauty_of_joseon_propolis_niacinamide_serum_prosopou_30ml.jpeg
La Roche Posay Effaclar Ultra Concentrated Face Serum 30ml,"

    La Roche Posay Effaclar Ultra Concentrated Serum Προσώπου με AHA & Σαλικυλικό Οξύ για Ακμή & Ατέλειες 30ml

  ","Ορός υψηλής συγκέντρωσης Effaclar Serum για βέλτιστη αποτελεσματικότητα στη μείωση των ατελειών, χάρη σε ένα σύμπλοκο τριών οξέων σε υψηλή συγκέντρωση. Καθημερινή απολέπιση, για βελτίωση της υφής του δέρματος από το 1ο πρωί. Σύνθεση που δεν προκαλεί ατέλειες, δηλαδή δε φράζει τους πόρους.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Ακμή, Ατέλειες
        ","
          Δραστικό Συστατικό
          Σαλικυλικό Οξύ, AHA
        ","
          Τύπος Επιδερμίδας
          Ακνεϊκή
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Ναι","
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://c.scdn.gr/images/sku_main_images/024707/24707855/xlarge_20260313114947_la_roche_posay_effaclar_ultra_concentrated_serum_prosopou_me_aha_salikyliko_oxy_gia_akmi_ateleies_30ml.jpeg
La Roche Posay Retinol B3 Face Serum 30ml,"

    La Roche Posay Retinol B3 Αντιγηραντικό Serum Προσώπου με Ρετινόλη & Νιασιναμίδη 30ml

  ","Αντιρυτιδικός ορός αναδόμησης & ανάπλασης, ακόμα και για το ευαίσθητο δέρμα. Διορθώνει τις βαθιές ρυτίδες, τις λεπτές γραμμές και τον ανομοιόμορφο τόνο της επιδερμίδας.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Λείανση
        ","
          Δραστικό Συστατικό
          Ρετινόλη, Νιασιναμίδη
        ","
          Τύπος Επιδερμίδας
          Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Ναι","
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://b.scdn.gr/images/sku_main_images/023595/23595928/xlarge_20260313114944_la_roche_posay_retinol_b3_antigirantiko_serum_prosopou_me_retinoli_niasinamidi_30ml.jpeg
Vichy Liftactiv Specialist B3 Face Serum 30ml,"

    Vichy Liftactiv Specialist B3 Αντιγηραντικό Serum Προσώπου με Νιασιναμίδη για Lifting & Πανάδες 30ml

  ",,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Πανάδες, Λεύκανση, Lifting
        ","
          Δραστικό Συστατικό
          Νιασιναμίδη
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Ναι","
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://d.scdn.gr/images/sku_main_images/033358/33358691/xlarge_20260313115010_vichy_liftactiv_specialist_b3_antigirantiko_serum_prosopou_me_niasinamidi_gia_lifting_panades_30ml.jpeg
Haruharu Wonder Black Rice Probiotics Barrier Face Essence 120ml,"

    Haruharu Wonder Black Rice Probiotics Barrier Καταπραϋντικό & Ενυδατικό Essence Προσώπου για Αποτοξίνωση & Σύσφιξη 120ml

  ","Το Haruharu Wonder Black Rice Probiotics Barrier Essence είναι ένας ορός προσώπου που στοχεύει στη σύσφιξη και ενίσχυση του όγκου της επιδερμίδας. Περιέχει σύμπλεγμα 5 Ceramide Complex και 5 Fatty Acids Complex, τα οποία συμβάλλουν στην αναπλήρωση του δερματικού φραγμού, προσφέροντας μια ενυδατωμένη και λεία επιδερμίδα χωρίς αίσθηση κολλώδους.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Σύσφιξη, Αναζωογόνηση, Αποτοξίνωση, Ενυδάτωση, Καταπράυνση
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι
            
  
  
    
  




              
  
    
        Booster
      
        
      
    

      
        
  
    Ορός με συμπυκνωμένη σύνθεση που στοχεύει στην ενίσχυση της λειτουργίας του επιδερμιδικού φραγμού, με ένα βασικό συστατικό σε υψηλή συγκέντρωση.
  

      



        ","
          Δερμοκαλλυντι",,"
          Όγκος
          120 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://c.scdn.gr/images/sku_main_images/057629/57629227/xlarge_20241125121437_haruharu_wonder_black_rice_probiotics_barrier_essence_prosopou_gia_sysfixi_120ml.jpeg
Axis-y Dark Spot Correcting Glow Face Serum,"

    Axis-y Dark Spot Correcting Glow Ενυδατικό Serum Προσώπου με Νιασιναμίδη για Λάμψη & Πανάδες 50ml

  ","Ένας ορός με βάση τη νιασιναμίδη 5% που διορθώνει τις σκούρες κηλίδες και βελτιώνει τον ανομοιόμορφο τόνο του δέρματος. Με τη βοήθεια της σκουαλάνης - φυτικής προέλευσης, αυτός ο ορός διατηρεί την υγρασία για να διατηρεί το δέρμα σας λαμπερό και υγιές όπου κι αν πάτε.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Λάμψη, Ενυδάτωση, Πανάδες
        ","
          Δραστικό Συστατικό
          Νιασιναμίδη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι
            
  
  
    
  




              
  
    
        Booster
      
        
      
    

      
        
  
    Ορός με συμπυκνωμένη σύνθεση που στοχεύει στην ενίσχυση της λειτουργίας του επιδερμιδικού φραγμού, με ένα βασικό συστατικό σε υψηλή συγκέντρωση.
  

      



        ","
          Δερμοκαλλυντι",,"
          Όγκος
          50 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://d.scdn.gr/images/sku_main_images/045729/45729180/xlarge_20230911165441_axis_y_serum_prosopou_gia_lampsi_panades_50ml.jpeg
Cosrx The 6 Peptide Face Essence,"

    Cosrx The 6 Peptide Καταπραϋντικό & Αντιγηραντικό Essence Προσώπου με Πεπτίδια για Λάμψη & Σύσφιξη 150ml

  ",To Cosrx The 6 peptide skin booster serum είναι ένας πολύ λεπτόρρευστος ενυδατικός ορός με 6 ισχυρά πεπτίδια που ενισχύει τη συνολική κατάσταση του δέρματος και λειτουργεί ως πρώτος ορός για να προετοιμάσει και να ενισχύσει την δράση των συμπυκνωμένων στοιχείων που θα ακολουθήσουν. Έξι πεπτίδια που αποκαθιστούν και αντιμετωπίζουν πολλαπλά...,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Λεύκανση, Αντιγήρανση, Ενυδάτωση, Αναζωογόνηση, Λείανση, Σύσφιξη, Λάμψη, Καταπράυνση
        ","
          Δραστικό Συστατικό
          Πεπτίδια
        ","
          Τύπος Επιδερμίδας
          Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Ναι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          150 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://c.scdn.gr/images/sku_main_images/048434/48434942/xlarge_20240130090755_cosrx_booster_prosopou_150ml.jpeg
